case_id,reason_code,payment_rail,order_value,days_since_transaction,device_ip_match_history,auth_flow_type,customer_account_age_days,customer_past_order_count,customer_past_dispute_count,delivery_confirmed,tracking_available,merchant_comm_log_exists,refund_already_issued,label
nb_unauth_00000,netbanking_unauthorized,netbanking,2546.7,21,1.0,netbanking_otp,1638,5,1,,,1,1,0
nb_unauth_00001,netbanking_unauthorized,netbanking,7852.79,7,0.912,netbanking_otp,87,5,0,,,1,0,1
nb_unauth_00002,netbanking_unauthorized,netbanking,1058.68,9,0.912,netbanking_otp,918,6,0,,,1,0,1
nb_unauth_00003,netbanking_unauthorized,netbanking,1104.39,3,0.0,saved_credentials,1610,6,0,,,1,0,0
nb_unauth_00004,netbanking_unauthorized,netbanking,969.64,3,0.0,netbanking_otp,1804,8,0,,,1,1,0
nb_unauth_00005,netbanking_unauthorized,netbanking,816.49,16,1.0,saved_credentials,1940,6,0,,,0,0,1
nb_unauth_00006,netbanking_unauthorized,netbanking,1500.77,10,1.0,saved_credentials,254,8,0,,,1,1,1
nb_unauth_00007,netbanking_unauthorized,netbanking,3421.61,1,0.0,saved_credentials,1429,4,0,,,1,0,0
nb_unauth_00008,netbanking_unauthorized,netbanking,16603.84,25,1.0,netbanking_otp,166,5,0,,,1,0,1
nb_unauth_00009,netbanking_unauthorized,netbanking,944.39,7,0.0,netbanking_otp,1108,5,0,,,1,0,0
nb_unauth_00010,netbanking_unauthorized,netbanking,3321.53,1,0.35,netbanking_otp,699,6,0,,,1,0,1
nb_unauth_00011,netbanking_unauthorized,netbanking,4447.04,1,1.0,netbanking_otp,467,8,0,,,1,1,1
nb_unauth_00012,netbanking_unauthorized,netbanking,2626.67,12,1.0,netbanking_otp,1497,10,0,,,1,0,1
nb_unauth_00013,netbanking_unauthorized,netbanking,3662.61,15,0.0,netbanking_otp,1916,5,0,,,0,0,1
nb_unauth_00014,netbanking_unauthorized,netbanking,2158.78,3,1.0,netbanking_otp,694,3,0,,,1,0,1
nb_unauth_00015,netbanking_unauthorized,netbanking,1712.93,10,1.0,netbanking_otp,1444,7,0,,,1,0,1
nb_unauth_00016,netbanking_unauthorized,netbanking,2377.93,10,0.895,netbanking_otp,1530,7,0,,,0,0,1
nb_unauth_00017,netbanking_unauthorized,netbanking,6796.06,2,1.0,saved_credentials,1388,6,0,,,1,0,1
nb_unauth_00018,netbanking_unauthorized,netbanking,5277.89,19,0.9,netbanking_otp,664,9,1,,,0,0,1
nb_unauth_00019,netbanking_unauthorized,netbanking,2911.15,10,1.0,netbanking_otp,1764,5,0,,,1,0,1
nb_unauth_00020,netbanking_unauthorized,netbanking,950.21,21,0.0,saved_credentials,1413,5,2,,,1,0,0
nb_unauth_00021,netbanking_unauthorized,netbanking,649.83,0,1.0,netbanking_otp,1751,10,0,,,1,0,1
nb_unauth_00022,netbanking_unauthorized,netbanking,2336.01,1,1.0,netbanking_otp,493,9,1,,,1,0,0
nb_unauth_00023,netbanking_unauthorized,netbanking,4908.08,24,0.0,netbanking_otp,162,7,0,,,1,0,0
nb_unauth_00024,netbanking_unauthorized,netbanking,4519.63,9,0.0,netbanking_otp,1375,2,0,,,1,0,0
nb_unauth_00025,netbanking_unauthorized,netbanking,4135.88,10,0.0,saved_credentials,40,5,0,,,1,0,0
nb_unauth_00026,netbanking_unauthorized,netbanking,832.48,12,0.74,saved_credentials,398,8,1,,,1,0,0
nb_unauth_00027,netbanking_unauthorized,netbanking,5885.04,19,1.0,saved_credentials,446,5,1,,,1,0,1
nb_unauth_00028,netbanking_unauthorized,netbanking,3781.62,21,0.65,netbanking_otp,389,5,0,,,1,0,1
nb_unauth_00029,netbanking_unauthorized,netbanking,1394.26,21,0.0,netbanking_otp,1820,9,1,,,1,0,0
nb_unauth_00030,netbanking_unauthorized,netbanking,6264.55,26,0.0,netbanking_otp,1748,8,1,,,1,0,0
nb_unauth_00031,netbanking_unauthorized,netbanking,1232.53,16,0.0,netbanking_otp,1067,4,0,,,0,0,0
nb_unauth_00032,netbanking_unauthorized,netbanking,4123.17,7,1.0,saved_credentials,1350,8,0,,,0,0,1
nb_unauth_00033,netbanking_unauthorized,netbanking,1791.69,17,1.0,netbanking_otp,1295,9,0,,,0,0,1
nb_unauth_00034,netbanking_unauthorized,netbanking,2544.88,8,0.0,netbanking_otp,1744,7,1,,,1,0,0
nb_unauth_00035,netbanking_unauthorized,netbanking,4459.6,12,0.0,saved_credentials,692,15,0,,,1,1,1
nb_unauth_00036,netbanking_unauthorized,netbanking,3408.04,0,0.0,saved_credentials,1409,8,1,,,0,0,0
nb_unauth_00037,netbanking_unauthorized,netbanking,2990.89,12,0.0,saved_credentials,850,6,0,,,1,0,0
nb_unauth_00038,netbanking_unauthorized,netbanking,1487.73,17,0.95,saved_credentials,1018,7,0,,,1,0,1
nb_unauth_00039,netbanking_unauthorized,netbanking,1684.1,9,0.0,netbanking_otp,600,8,0,,,1,0,0
nb_unauth_00040,netbanking_unauthorized,netbanking,1772.96,3,1.0,saved_credentials,1507,7,0,,,1,0,1
nb_unauth_00041,netbanking_unauthorized,netbanking,6682.68,2,0.0,saved_credentials,1880,6,0,,,1,0,0
nb_unauth_00042,netbanking_unauthorized,netbanking,11894.58,3,1.0,saved_credentials,1965,10,1,,,0,0,1
nb_unauth_00043,netbanking_unauthorized,netbanking,1508.25,10,0.0,saved_credentials,824,6,0,,,1,0,1
nb_unauth_00044,netbanking_unauthorized,netbanking,9121.5,29,1.0,netbanking_otp,172,4,0,,,1,0,1
nb_unauth_00045,netbanking_unauthorized,netbanking,1327.75,13,1.0,netbanking_otp,1671,9,0,,,1,0,1
nb_unauth_00046,netbanking_unauthorized,netbanking,4135.55,27,0.0,saved_credentials,54,5,0,,,1,0,0
nb_unauth_00047,netbanking_unauthorized,netbanking,1274.0,4,0.0,netbanking_otp,311,5,2,,,0,0,0
nb_unauth_00048,netbanking_unauthorized,netbanking,7166.39,29,0.0,saved_credentials,1788,6,0,,,1,0,0
nb_unauth_00049,netbanking_unauthorized,netbanking,5887.62,27,0.0,netbanking_otp,635,5,0,,,1,0,0
nb_unauth_00050,netbanking_unauthorized,netbanking,6872.48,2,1.0,netbanking_otp,1086,6,0,,,1,0,1
nb_unauth_00051,netbanking_unauthorized,netbanking,2156.06,0,1.0,saved_credentials,363,4,0,,,1,0,1
nb_unauth_00052,netbanking_unauthorized,netbanking,1545.98,19,1.0,netbanking_otp,537,7,1,,,0,0,1
nb_unauth_00053,netbanking_unauthorized,netbanking,6672.64,6,1.0,netbanking_otp,587,11,0,,,1,0,1
nb_unauth_00054,netbanking_unauthorized,netbanking,2878.19,19,1.0,saved_credentials,438,11,1,,,1,0,1
nb_unauth_00055,netbanking_unauthorized,netbanking,2906.63,20,0.585,netbanking_otp,1335,9,2,,,1,0,1
nb_unauth_00056,netbanking_unauthorized,netbanking,2126.79,1,0.0,saved_credentials,1348,1,0,,,1,0,0
nb_unauth_00057,netbanking_unauthorized,netbanking,2709.11,24,1.0,saved_credentials,283,4,0,,,1,0,1
nb_unauth_00058,netbanking_unauthorized,netbanking,6699.52,25,0.0,netbanking_otp,1957,6,0,,,1,1,0
nb_unauth_00059,netbanking_unauthorized,netbanking,1949.98,14,0.0,saved_credentials,1072,7,1,,,1,0,0
nb_unauth_00060,netbanking_unauthorized,netbanking,1911.74,27,0.35,netbanking_otp,1442,3,1,,,0,0,0
nb_unauth_00061,netbanking_unauthorized,netbanking,1581.85,17,0.0,saved_credentials,7,7,0,,,0,0,1
nb_unauth_00062,netbanking_unauthorized,netbanking,2682.19,21,0.0,netbanking_otp,777,3,0,,,1,0,0
nb_unauth_00063,netbanking_unauthorized,netbanking,7085.69,8,0.0,netbanking_otp,1966,8,0,,,1,1,1
nb_unauth_00064,netbanking_unauthorized,netbanking,1559.71,18,0.965,saved_credentials,1717,5,0,,,1,0,1
nb_unauth_00065,netbanking_unauthorized,netbanking,1812.48,28,1.0,netbanking_otp,72,9,0,,,1,0,1
nb_unauth_00066,netbanking_unauthorized,netbanking,9146.88,23,0.0,saved_credentials,1349,5,0,,,0,0,0
nb_unauth_00067,netbanking_unauthorized,netbanking,1777.18,19,1.0,netbanking_otp,1509,8,0,,,1,0,1
nb_unauth_00068,netbanking_unauthorized,netbanking,3208.65,12,0.0,saved_credentials,277,8,0,,,1,0,0
nb_unauth_00069,netbanking_unauthorized,netbanking,10387.25,3,0.75,netbanking_otp,1738,5,0,,,1,0,1
nb_unauth_00070,netbanking_unauthorized,netbanking,2738.72,10,0.0,saved_credentials,360,6,0,,,1,0,0
nb_unauth_00071,netbanking_unauthorized,netbanking,12613.88,22,1.0,netbanking_otp,1992,4,0,,,1,0,1
nb_unauth_00072,netbanking_unauthorized,netbanking,1478.37,15,1.0,netbanking_otp,19,9,0,,,1,0,1
nb_unauth_00073,netbanking_unauthorized,netbanking,12154.2,3,0.0,netbanking_otp,1300,6,0,,,1,0,0
nb_unauth_00074,netbanking_unauthorized,netbanking,2649.25,7,1.0,netbanking_otp,477,7,1,,,1,0,1
nb_unauth_00075,netbanking_unauthorized,netbanking,333.3,12,0.783,saved_credentials,1213,3,0,,,1,0,1
nb_unauth_00076,netbanking_unauthorized,netbanking,492.63,1,0.65,netbanking_otp,1533,9,0,,,1,0,1
nb_unauth_00077,netbanking_unauthorized,netbanking,2176.5,14,1.0,netbanking_otp,1115,8,1,,,1,0,1
nb_unauth_00078,netbanking_unauthorized,netbanking,3817.9,27,1.0,saved_credentials,1491,6,0,,,0,0,1
nb_unauth_00079,netbanking_unauthorized,netbanking,2858.48,21,0.0,saved_credentials,1529,5,1,,,1,0,1
nb_unauth_00080,netbanking_unauthorized,netbanking,7783.57,28,1.0,saved_credentials,663,6,1,,,1,0,1
nb_unauth_00081,netbanking_unauthorized,netbanking,4477.06,29,1.0,saved_credentials,1741,9,1,,,1,0,1
nb_unauth_00082,netbanking_unauthorized,netbanking,2527.92,1,0.0,netbanking_otp,165,7,0,,,1,0,1
nb_unauth_00083,netbanking_unauthorized,netbanking,3571.15,11,1.0,netbanking_otp,1055,11,1,,,1,0,1
nb_unauth_00084,netbanking_unauthorized,netbanking,2289.72,6,0.912,netbanking_otp,1507,9,0,,,1,0,1
nb_unauth_00085,netbanking_unauthorized,netbanking,4635.28,20,0.0,saved_credentials,1440,8,0,,,1,0,1
nb_unauth_00086,netbanking_unauthorized,netbanking,1628.14,1,0.0,netbanking_otp,635,6,0,,,0,0,1
