case_id,reason_code,payment_rail,order_value,days_since_transaction,device_ip_match_history,auth_flow_type,customer_account_age_days,customer_past_order_count,customer_past_dispute_count,delivery_confirmed,tracking_available,merchant_comm_log_exists,refund_already_issued,label
non_del_00000,non_delivery,upi,3283.37,42,,,1312,8,0,1,1,1,0,1
non_del_00001,non_delivery,upi,477.16,16,,,873,5,1,0,1,0,0,0
non_del_00002,non_delivery,upi,1413.29,20,,,599,3,0,1,1,1,0,1
non_del_00003,non_delivery,upi,3978.54,38,,,1083,8,1,1,1,1,0,1
non_del_00004,non_delivery,upi,4766.35,0,,,1228,10,1,0,1,1,0,1
non_del_00005,non_delivery,netbanking,1101.88,38,,,54,7,0,1,1,1,0,1
non_del_00006,non_delivery,upi,862.15,7,,,1308,4,0,0,1,1,0,1
non_del_00007,non_delivery,upi,57.26,11,,,602,13,2,1,1,1,0,1
non_del_00008,non_delivery,upi,3524.32,21,,,1607,2,3,1,1,1,0,1
non_del_00009,non_delivery,upi,3374.71,31,,,355,10,2,1,1,1,0,1
non_del_00010,non_delivery,upi,1780.79,15,,,572,8,1,0,1,1,0,1
non_del_00011,non_delivery,upi,6755.73,42,,,1944,8,0,0,0,1,0,0
non_del_00012,non_delivery,upi,1621.59,35,,,494,1,1,1,1,1,0,1
non_del_00013,non_delivery,netbanking,3597.38,33,,,261,5,0,1,1,1,0,1
non_del_00014,non_delivery,upi,1152.52,34,,,1101,3,1,0,0,1,0,0
non_del_00015,non_delivery,upi,1368.73,1,,,1255,7,1,1,1,1,0,1
non_del_00016,non_delivery,netbanking,2024.4,37,,,1133,3,0,1,1,1,0,1
non_del_00017,non_delivery,upi,837.32,27,,,804,5,0,1,1,1,0,1
non_del_00018,non_delivery,upi,2964.97,8,,,215,9,1,0,1,1,0,1
non_del_00019,non_delivery,upi,1827.53,35,,,575,7,1,0,1,1,0,1
non_del_00020,non_delivery,netbanking,302.28,4,,,113,3,0,1,1,1,0,1
non_del_00021,non_delivery,upi,3653.91,27,,,1708,4,1,1,1,1,0,1
non_del_00022,non_delivery,netbanking,778.42,25,,,519,9,0,1,1,1,0,1
non_del_00023,non_delivery,upi,845.48,1,,,1328,10,0,0,0,0,0,0
non_del_00024,non_delivery,netbanking,1362.21,16,,,521,7,0,1,1,1,0,1
non_del_00025,non_delivery,upi,2320.85,5,,,1240,7,1,1,1,1,0,0
non_del_00026,non_delivery,netbanking,2116.2,42,,,183,6,0,0,0,1,0,1
non_del_00027,non_delivery,upi,4465.2,36,,,188,5,0,1,1,1,0,1
non_del_00028,non_delivery,netbanking,2041.15,44,,,632,3,0,1,1,1,0,1
non_del_00029,non_delivery,upi,437.08,21,,,518,5,1,1,1,0,0,1
non_del_00030,non_delivery,netbanking,689.93,14,,,644,6,1,1,1,1,0,1
non_del_00031,non_delivery,netbanking,401.18,43,,,553,8,0,1,1,1,0,1
non_del_00032,non_delivery,upi,394.19,13,,,1388,8,0,1,1,0,0,1
non_del_00033,non_delivery,upi,1241.23,18,,,869,5,1,0,0,0,1,0
non_del_00034,non_delivery,upi,3480.77,6,,,309,5,0,1,1,1,0,1
non_del_00035,non_delivery,netbanking,1820.03,36,,,1843,6,0,0,0,0,0,1
non_del_00036,non_delivery,netbanking,2384.33,5,,,1270,8,1,0,0,1,0,0
non_del_00037,non_delivery,upi,2931.25,1,,,807,8,0,1,0,1,0,1
non_del_00038,non_delivery,upi,3648.34,37,,,1019,5,1,1,1,1,0,1
non_del_00039,non_delivery,upi,922.42,37,,,656,6,0,1,1,1,0,1
non_del_00040,non_delivery,upi,3323.9,38,,,786,6,0,0,0,1,0,1
non_del_00041,non_delivery,upi,3031.91,38,,,142,3,0,0,0,1,1,0
non_del_00042,non_delivery,netbanking,1201.11,6,,,1662,9,0,0,1,1,0,1
non_del_00043,non_delivery,upi,873.68,16,,,770,7,0,0,1,1,0,0
non_del_00044,non_delivery,netbanking,1472.02,34,,,1392,8,0,0,0,0,0,1
non_del_00045,non_delivery,netbanking,4380.99,13,,,105,7,1,1,1,1,0,1
non_del_00046,non_delivery,upi,3606.89,35,,,184,4,1,0,1,1,0,1
non_del_00047,non_delivery,upi,1192.42,40,,,731,3,0,1,1,1,0,1
non_del_00048,non_delivery,upi,3391.45,43,,,76,6,1,0,0,1,0,0
non_del_00049,non_delivery,upi,2655.92,34,,,1935,12,0,1,0,1,1,1
non_del_00050,non_delivery,netbanking,2334.41,35,,,79,5,2,0,0,1,0,0
non_del_00051,non_delivery,upi,4150.55,26,,,1112,8,0,0,0,1,0,0
non_del_00052,non_delivery,upi,2095.9,3,,,702,6,1,1,1,1,0,1
non_del_00053,non_delivery,netbanking,1738.87,19,,,418,6,0,0,0,1,0,0
non_del_00054,non_delivery,upi,245.9,42,,,282,7,0,0,1,1,1,0
non_del_00055,non_delivery,upi,2914.53,41,,,599,4,1,1,1,1,0,1
non_del_00056,non_delivery,netbanking,813.4,10,,,103,6,1,1,1,1,0,1
non_del_00057,non_delivery,upi,706.86,33,,,1142,5,0,1,1,0,0,1
non_del_00058,non_delivery,upi,1782.63,13,,,470,6,0,0,0,1,0,1
non_del_00059,non_delivery,upi,693.28,18,,,39,8,1,0,1,1,0,1
non_del_00060,non_delivery,upi,2219.72,29,,,231,4,0,1,1,1,1,1
non_del_00061,non_delivery,upi,1958.27,22,,,1799,5,1,1,1,0,0,1
non_del_00062,non_delivery,netbanking,1837.02,27,,,480,7,0,0,0,1,0,1
non_del_00063,non_delivery,upi,1472.45,4,,,1156,2,1,0,0,1,0,1
non_del_00064,non_delivery,upi,2852.09,13,,,819,7,0,1,1,1,1,1
non_del_00065,non_delivery,upi,2226.03,36,,,985,3,1,1,1,1,1,1
non_del_00066,non_delivery,upi,2199.41,27,,,1708,7,0,0,1,0,1,1
non_del_00067,non_delivery,netbanking,882.13,37,,,1432,7,0,1,1,0,0,1
non_del_00068,non_delivery,netbanking,1575.01,43,,,1102,7,1,1,1,1,0,0
non_del_00069,non_delivery,netbanking,870.28,16,,,401,2,1,0,1,1,0,1
non_del_00070,non_delivery,upi,1557.14,11,,,1699,6,0,1,0,1,0,0
non_del_00071,non_delivery,upi,982.83,13,,,44,3,0,1,1,1,0,0
non_del_00072,non_delivery,netbanking,1529.43,25,,,1115,1,0,0,0,1,0,1
non_del_00073,non_delivery,netbanking,1575.39,11,,,1230,5,0,0,1,1,0,0
non_del_00074,non_delivery,netbanking,1529.42,17,,,1891,6,0,0,1,1,0,1
non_del_00075,non_delivery,upi,2895.15,7,,,320,5,1,0,0,0,0,0
non_del_00076,non_delivery,upi,2434.28,17,,,578,6,1,1,1,1,0,1
