case_id,reason_code,payment_rail,order_value,days_since_transaction,device_ip_match_history,auth_flow_type,customer_account_age_days,customer_past_order_count,customer_past_dispute_count,delivery_confirmed,tracking_available,merchant_comm_log_exists,refund_already_issued,label
upi_unauth_00000,upi_unauthorized,upi,3137.73,4,1.0,pin_entry,1051,4,0,,,1,1,1
upi_unauth_00001,upi_unauthorized,upi,4253.02,11,0.783,collect_request,1146,5,0,,,0,1,1
upi_unauth_00002,upi_unauthorized,upi,2755.82,27,0.907,pin_entry,1318,7,1,,,1,0,1
upi_unauth_00003,upi_unauthorized,upi,2467.61,28,1.0,pin_entry,1997,10,1,,,0,0,1
upi_unauth_00004,upi_unauthorized,upi,4618.88,11,1.0,collect_request,1518,8,2,,,1,0,1
upi_unauth_00005,upi_unauthorized,upi,2630.06,15,0.0,pin_entry,52,2,0,,,1,0,0
upi_unauth_00006,upi_unauthorized,upi,3519.01,29,0.0,autopay,178,4,0,,,1,0,0
upi_unauth_00007,upi_unauthorized,upi,3284.23,7,0.907,pin_entry,1,3,1,,,1,1,0
upi_unauth_00008,upi_unauthorized,upi,4616.12,28,1.0,autopay,791,6,0,,,1,0,1
upi_unauth_00009,upi_unauthorized,upi,2158.83,3,1.0,pin_entry,701,6,0,,,0,0,1
upi_unauth_00010,upi_unauthorized,upi,5693.38,6,0.961,autopay,1867,12,0,,,1,0,1
upi_unauth_00011,upi_unauthorized,upi,1758.9,10,0.0,pin_entry,732,2,0,,,1,0,0
upi_unauth_00012,upi_unauthorized,upi,3678.98,1,0.0,pin_entry,62,14,1,,,1,1,0
upi_unauth_00013,upi_unauthorized,upi,3387.45,24,0.0,pin_entry,1767,7,1,,,1,0,0
upi_unauth_00014,upi_unauthorized,upi,1633.46,25,0.0,pin_entry,521,10,1,,,0,0,0
upi_unauth_00015,upi_unauthorized,upi,3892.61,11,0.0,pin_entry,1825,7,0,,,1,0,0
upi_unauth_00016,upi_unauthorized,upi,2285.77,25,1.0,collect_request,1549,7,4,,,1,0,0
upi_unauth_00017,upi_unauthorized,upi,1219.17,23,1.0,pin_entry,1761,6,0,,,1,1,1
upi_unauth_00018,upi_unauthorized,upi,4233.19,24,1.0,pin_entry,1639,7,0,,,1,0,1
upi_unauth_00019,upi_unauthorized,upi,848.71,24,1.0,collect_request,287,9,3,,,1,0,1
upi_unauth_00020,upi_unauthorized,upi,1420.01,17,0.838,collect_request,1252,8,0,,,1,0,1
upi_unauth_00021,upi_unauthorized,upi,2732.84,3,1.0,collect_request,824,9,0,,,0,0,1
upi_unauth_00022,upi_unauthorized,upi,4595.69,27,0.093,pin_entry,1257,8,0,,,0,1,0
upi_unauth_00023,upi_unauthorized,upi,4058.64,18,0.919,collect_request,1492,6,0,,,1,1,1
upi_unauth_00024,upi_unauthorized,upi,3102.71,27,0.0,autopay,1002,4,1,,,1,0,0
upi_unauth_00025,upi_unauthorized,upi,606.74,28,0.0,pin_entry,625,5,1,,,1,1,0
upi_unauth_00026,upi_unauthorized,upi,1695.27,5,1.0,pin_entry,1832,11,0,,,1,0,1
upi_unauth_00027,upi_unauthorized,upi,2004.14,12,1.0,pin_entry,1326,11,1,,,1,0,1
upi_unauth_00028,upi_unauthorized,upi,1170.22,5,0.95,collect_request,1771,9,1,,,1,0,1
upi_unauth_00029,upi_unauthorized,upi,452.07,1,0.838,pin_entry,475,9,0,,,0,0,1
upi_unauth_00030,upi_unauthorized,upi,2828.6,28,1.0,autopay,1676,11,0,,,0,0,1
upi_unauth_00031,upi_unauthorized,upi,4145.69,27,0.0,pin_entry,647,12,0,,,1,0,0
